epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.7803,2.14111,3.40952,1.36954,0.41838,0.46964,0.38531,0.19095,1.85669,1.90511,1.2631,0.000368299,0.000368299,0.000368299
2,151.845,1.96981,2.0434,1.32676,0.64672,0.47705,0.53806,0.27946,1.76735,1.43907,1.26484,0.000665507,0.000665507,0.000665507
3,209.756,1.92965,1.65788,1.32229,0.5093,0.54792,0.55557,0.27154,1.74968,1.55505,1.25182,0.00088939,0.00088939,0.00088939
4,267.394,1.80872,1.37803,1.26561,0.53118,0.62351,0.59339,0.23122,2.0464,1.35398,1.32111,0.000781033,0.000781033,0.000781033
5,325.095,1.72913,1.22024,1.20714,0.67696,0.60889,0.66076,0.32933,1.74,1.20202,1.24169,0.000671044,0.000671044,0.000671044
6,382.806,1.6799,1.12222,1.18258,0.65145,0.63051,0.66429,0.35682,1.63229,1.14431,1.18805,0.000561055,0.000561055,0.000561055
7,440.763,1.62969,1.04504,1.15215,0.68587,0.66532,0.68878,0.35512,1.59427,1.12763,1.16985,0.000451066,0.000451066,0.000451066
8,498.597,1.57968,0.98574,1.1369,0.66883,0.69869,0.69916,0.37746,1.60346,1.05542,1.18099,0.000341077,0.000341077,0.000341077
9,556.323,1.55011,0.94074,1.11441,0.61031,0.63585,0.63004,0.32503,1.71459,1.19164,1.20951,0.000231088,0.000231088,0.000231088
10,613.987,1.50906,0.88997,1.10464,0.71775,0.65504,0.70422,0.38908,1.55151,1.02204,1.18352,0.000121099,0.000121099,0.000121099
